SuperUserName,CustID,"GROUP_CONCAT(CategorySports SEPARATOR ', ')"
AG,33065953,"Normal Member(Soccer, Basketball)"
AG,33095563,"VIP(Soccer, Parlay)"
AG,33120662,"Normal Member(Non-Sports)"
AG,33127809,"VIP(Soccer, Non-Sports)"
AG,33506992,VIP(Soccer)
AG,33520627,"Normal Member(Soccer)"
AG,33850509,"Normal Member(Non-Sports), Smart Punter(Soccer)"
AG,34002815,"Normal Member(Other-Sports, Parlay), VIP(Soccer)"
AG,34032219,VIP(Soccer)
AG,35303141,"High Risk Punter(Non-Sports)"
AG,35349553,"Smart Punter(Soccer), High Risk Punter(Basketball)"
AG,35585666,"Normal Member(Soccer, Non-Sports)"
AG,35637329,"Normal Member(Soccer, Non-Sports)"
AG,35707276,"VIP(Soccer, Other-Sports, Parlay)"
AG,35714021,"Normal Member(Soccer, Parlay)"
AG,35861289,"High Risk Punter(Non-Sports)"
AG,35905828,"High Risk Punter(Soccer, Basketball)"
AG,35939860,"Normal Member(Non-Sports), VIP(Soccer)"
AG,36143167,"Normal Member(Non-Sports), High Risk Punter(Soccer)"
AG,36290715,"Smart Punter(Soccer)"
AG,36347901,"Normal Member(Basketball, Other-Sports, Non-Sports, Parlay), VIP(Soccer)"
AG,36412032,"High Risk Punter(Soccer)"
AG,36539262,"Normal Member(Soccer, Non-Sports), High Risk Punter(Other-Sports)"
AG,36639695,"Normal Member(Soccer, Other-Sports), High Risk Punter(Basketball)"
AG,36753839,"Normal Member(Soccer, Non-Sports, Parlay), High Risk Punter(Other-Sports), Probation(Basketball)"
AG,36811524,VIP(Non-Sports)
AG,36814720,"Normal Member(Parlay), High Risk Punter(Soccer)"
AG,36852647,"Normal Member(Non-Sports)"
AG,36939899,VIP(Soccer)
AG,36974260,"High Risk Punter(Soccer, Non-Sports)"
AG,36974850,"Normal Member(Soccer)"
AG,36983835,"High Risk Punter(Non-Sports)"
AG,37037036,"Normal Member(Non-Sports, Parlay), High Risk Punter(Soccer)"
AG,37135357,"Normal Member(Soccer, Non-Sports)"
AG,37165092,VIP(Soccer)
AG,37238170,"High Risk Punter(Basketball, Non-Sports)"
AG,37305308,"High Risk Punter(Soccer)"
AG,37325701,NULL
AG,37387992,"VIP(Non-Sports, Parlay)"
AG,37388035,"Normal Member(Non-Sports), High Risk Punter(Soccer)"
AG,37505791,VIP(Soccer)
AG,37506022,"Normal Member(Basketball, Non-Sports), High Risk Punter(Soccer)"
AG,37506102,"Normal Member(Soccer)"
AG,37506803,VIP(Soccer)
AG,37506931,"Normal Member(Soccer, Non-Sports), High Risk Punter(Parlay)"
AG,37506970,"High Risk Punter(Parlay)"
AG,37507264,"Normal Member(Soccer)"
AG,37562707,"Normal Member(Basketball), VIP(Soccer, Other-Sports)"
AG,37565116,"Normal Member(Soccer, Parlay)"
AG,37619729,"Normal Member(Basketball), High Risk Punter(Soccer, Other-Sports)"
AG,37619889,"High Risk Punter(Basketball, Other-Sports)"
AG,37653881,VIP(Soccer)
AG,37653937,"Normal Member(Parlay), VIP(Soccer), High Risk Punter(Non-Sports)"
AG,37665086,"VIP(Non-Sports, Parlay)"
AG,37690168,"Smart Punter(Soccer)"
AG,37833588,"Normal Member(Soccer, Basketball), High Risk Punter(Parlay)"
AG,37922234,"VIP(Soccer, Basketball)"
AG,37957894,"Normal Member(Non-Sports), High Risk Punter(Soccer, Parlay)"
AG,37978201,VIP(Non-Sports)
AG,37980548,VIP(Soccer)
AG,37984526,"Normal Member(Soccer)"
AG,38010999,VIP(Soccer)
AG,38039454,"Normal Member(Soccer)"
AG,38108196,"Normal Member(Soccer, Non-Sports)"
AG,38141255,"Normal Member(Soccer, Basketball, Other-Sports, E-Sports, Non-Sports)"
AG,38200281,VIP(Soccer)
AG,38200293,"Normal Member(Soccer, Other-Sports), High Risk Punter(Non-Sports)"
AG,38200315,"Normal Member(Parlay), VIP(Soccer), High Risk Punter(Basketball)"
AG,38200331,"Normal Member(Soccer)"
AG,38200367,"Normal Member(Non-Sports)"
AG,38225385,"Normal Member(Soccer, Basketball, Other-Sports, Non-Sports, Parlay)"
AG,38248279,"Normal Member(Soccer), High Risk Punter(Other-Sports)"
AG,38347242,"Normal Member(Soccer, Non-Sports, Parlay)"
AG,38408100,"Normal Member(Soccer)"
AG,38648924,"Normal Member(Soccer, Parlay)"
AG,38716688,"High Risk Punter(Soccer)"
AG,38764265,"Normal Member(Soccer, Other-Sports)"
AG,38907259,"High Risk Punter(Basketball)"
AG,38916223,VIP(Soccer)
AG,38922666,"High Risk Punter(Soccer)"
AG,38946160,"Smart Punter(Non-Sports)"
AG,38952426,"High Risk Punter(Soccer, Basketball)"
AG,38958033,"Normal Member(Soccer, E-Sports, Parlay)"
AG,38963316,"Normal Member(Basketball), High Risk Punter(Soccer)"
AG,38989649,VIP(Soccer)
AG,38991626,"Smart Punter(Non-Sports)"
AG,39004865,VIP(Soccer)
AG,39061181,"High Risk Punter(Basketball, Other-Sports)"
AG,39065753,"High Risk Punter(Soccer)"
AG,39123419,VIP(Non-Sports)
AG,39181270,VIP(Soccer)
AG,39369337,VIP(Soccer)
AG,39398053,VIP(Soccer)
AG,39584723,"High Risk Punter(Soccer)"
AG,39640550,VIP(Non-Sports)
AG,39648272,"High Risk Punter(Soccer)"
AG,39741823,NULL
AG,39741930,"Normal Member(Soccer)"
AG,39755293,"Normal Member(Soccer, Basketball)"
AG,39766161,"High Risk Punter(Basketball)"
AG,39895791,"Normal Member(Soccer, Non-Sports, Parlay)"
AG,39960282,NULL
AG,39989249,"High Risk Punter(Soccer)"
AG,39992907,"High Risk Punter(Soccer)"
AG,40004105,VIP(Soccer)
AG,40060530,"Normal Member(Soccer, Basketball, Other-Sports, Parlay), High Risk Punter(E-Sports)"
AG,40081548,"High Risk Punter(Soccer)"
AG,40094394,VIP(Soccer)
AG,40106088,"High Risk Punter(Other-Sports)"
AG,40156595,VIP(Soccer)
AG,40166289,"High Risk Punter(Other-Sports)"
AG,40182824,"High Risk Punter(Non-Sports)"
AG,40315895,"High Risk Punter(Soccer)"
AG,40319772,"Normal Member(Soccer, Non-Sports, Parlay)"
AG,40350031,"Normal Member(Soccer, Parlay), High Risk Punter(Non-Sports)"
AG,40354409,VIP(Non-Sports)
AG,40366786,"Normal Member(Soccer, Basketball, Other-Sports)"
AG,40413080,"Normal Member(Soccer, Other-Sports)"
AG,40413169,"High Risk Punter(Soccer)"
AG,40413187,VIP(Soccer)
AG,40413203,VIP(Soccer)
AG,40420057,"High Risk Punter(Soccer, Basketball, Non-Sports)"
AG,40427127,NULL
AG,40452200,"High Risk Punter(Basketball)"
AG,40464569,"High Risk Punter(Other-Sports)"
AG,40513471,VIP(Soccer)
AG,40549862,"Normal Member(Soccer, Non-Sports)"
AG,40585054,"VIP(Soccer, Basketball, Other-Sports)"
AG,40588881,"High Risk Punter(Soccer)"
AG,40614070,"High Risk Punter(Basketball)"
AG,40652143,"Normal Member(Soccer)"
AG,40736153,VIP(Soccer)
AG,40928730,"Normal Member(Basketball, Non-Sports)"
AG,40932461,"High Risk Punter(Soccer)"
AG,40947010,"Normal Member(Soccer), High Risk Punter(Other-Sports)"
AG,40994691,"High Risk Punter(Soccer)"
AG,41012753,"Normal Member(Soccer)"
AG,41014995,"High Risk Punter(Basketball)"
AG,41019701,"Normal Member(Soccer)"
AG,41022982,"High Risk Punter(Soccer)"
AG,41067781,"Normal Member(Basketball, Non-Sports), High Risk Punter(Soccer)"
AG,41109972,"Normal Member(Other-Sports), High Risk Punter(Soccer)"
AG,41131029,"High Risk Punter(Other-Sports, Non-Sports)"
AG,41131071,"Normal Member(Soccer, Basketball), High Risk Punter(Other-Sports)"
AG,41151162,VIP(Soccer)
AG,41151245,NULL
AG,41165838,"Normal Member(Soccer, Non-Sports)"
AG,41170455,"Normal Member(Basketball, Other-Sports)"
AG,41192949,"High Risk Punter(Soccer)"
AG,41193906,"VIP(Soccer, Basketball, Parlay)"
AG,41193936,"VIP(Soccer, Basketball, Parlay)"
AG,41200916,"Normal Member(Basketball)"
AG,41209142,"High Risk Punter(Soccer)"
AG,41249117,VIP(Soccer)
AG,41311945,NULL
AG,41339554,"Normal Member(Basketball), High Risk Punter(Soccer, Other-Sports)"
AG,41339587,NULL
AG,41339604,"Normal Member(Soccer, Basketball, Other-Sports)"
AG,41339614,NULL
AG,41351161,"Normal Member(Soccer, Other-Sports, Non-Sports, Parlay)"
AG,41352825,"Normal Member(Parlay), High Risk Punter(Soccer, Basketball, Non-Sports)"
AG,41371061,"Normal Member(Soccer, Non-Sports), High Risk Punter(Basketball)"
AG,41373781,"Normal Member(Soccer, Non-Sports)"
AG,41448227,"Normal Member(Parlay), High Risk Punter(Soccer)"
AG,41452023,"Normal Member(Basketball), High Risk Punter(Soccer)"
AG,41452666,"High Risk Punter(Basketball)"
AG,41453795,NULL
AG,41455345,"High Risk Punter(Other-Sports)"
AG,41457282,"Normal Member(Non-Sports)"
AG,41498903,"Normal Member(Soccer, Parlay)"
AG,41508170,"High Risk Punter(Soccer)"
AG,41511565,VIP(Soccer)
AG,41536884,"High Risk Punter(Soccer)"
AG,41536917,"Normal Member(Soccer)"
AG,41536932,"High Risk Punter(Soccer)"
AG,41536985,"High Risk Punter(Soccer)"
AG,41543559,NULL
AG,41552135,VIP(Soccer)
AG,41552194,NULL
AG,41564618,"Normal Member(Soccer), High Risk Punter(Parlay)"
AG,41581239,VIP(Soccer)
AG,41584574,NULL
AG,41584602,"Normal Member(Soccer)"
AG,41584959,NULL
AG,41640525,"Normal Member(Non-Sports)"
AG,41674009,"Normal Member(Non-Sports)"
AG,41686357,"Normal Member(Non-Sports), High Risk Punter(Soccer)"
AG,41720128,NULL
AG,41724979,"Normal Member(Non-Sports), High Risk Punter(Soccer)"
AG,41727634,"High Risk Punter(Soccer)"
AG,41730235,"Normal Member(Soccer)"
AG,41730284,"High Risk Punter(Non-Sports)"
AG,41730293,"Normal Member(Non-Sports), High Risk Punter(Soccer)"
AG,41730301,"VIP(Soccer, Non-Sports)"
AG,41730312,"Normal Member(Soccer)"
AG,41730317,NULL
AG,41730325,"Normal Member(Soccer)"
AG,41742109,"Normal Member(Non-Sports)"
AG,41798611,"Normal Member(Non-Sports), High Risk Punter(Basketball)"
AG,41802521,"Normal Member(Soccer, Non-Sports), High Risk Punter(Basketball)"
AG,41807639,"Smart Punter(Non-Sports)"
AG,41819713,"High Risk Punter(Soccer)"
AG,41822001,"Normal Member(Soccer)"
AG,41822058,"Normal Member(Non-Sports), VIP(Soccer)"
AG,41822122,VIP(Soccer)
AG,41822234,"High Risk Punter(Soccer)"
AG,41833001,NULL
AG,41844587,"Normal Member(Soccer)"
AG,41864342,"High Risk Punter(Soccer)"
AG,41866765,NULL
AG,41880082,"High Risk Punter(Soccer)"
AG,41882589,"High Risk Punter(Soccer)"
AG,41886445,"Normal Member(Soccer)"
AG,41892182,"Normal Member(Non-Sports), VIP(Soccer)"
AG,41915428,"High Risk Punter(Soccer, Basketball)"
AG,41915494,"High Risk Punter(Basketball)"
AG,41920960,"Normal Member(Soccer)"
AG,41946612,"High Risk Punter(Soccer)"
AG,41969798,"Normal Member(Basketball), High Risk Punter(Soccer)"
AG,41981695,"Normal Member(Soccer)"
AG,42005368,NULL
AG,42023433,"Normal Member(Soccer, Basketball, Other-Sports, Non-Sports)"
AG,42026597,"High Risk Punter(E-Sports)"
AG,42030387,"Normal Member(Non-Sports)"
AG,42066056,NULL
AG,42082502,"Normal Member(Soccer)"
AG,42087748,VIP(Non-Sports)
AG,42097220,"Normal Member(Soccer, Non-Sports)"
AG,42097263,"Smart Punter(Non-Sports)"
AG,42102438,"Normal Member(Non-Sports)"
AG,42110995,NULL
AG,42113947,VIP(Soccer)
AG,42115805,NULL
AG,42121039,VIP(Non-Sports)
AG,42130833,"Normal Member(Soccer, Non-Sports)"
AG,42133919,"Normal Member(Soccer, Basketball, Parlay)"
AG,42141228,"Normal Member(Soccer, Non-Sports)"
AG,42149643,NULL
AG,42151545,"Normal Member(Soccer)"
AG,42151862,"Normal Member(Non-Sports)"
AG,42178772,"Normal Member(Soccer, Other-Sports), Smart Punter(Non-Sports)"
AG,42180732,"Normal Member(Basketball), High Risk Punter(Soccer, Other-Sports)"
AG,42189006,NULL
AG,42209076,NULL
AG,42212315,"High Risk Punter(Soccer)"
AG,42217750,VIP(Non-Sports)
AG,42221269,NULL
AG,42231820,NULL
AG,42266652,"Normal Member(Soccer, Non-Sports)"
AG,42290065,"High Risk Punter(Non-Sports)"
AG,42290343,"High Risk Punter(Non-Sports)"
AG,42290683,"Smart Punter(Non-Sports)"
AG,42301685,VIP(Non-Sports)
AG,42305453,"Normal Member(Other-Sports), VIP(Soccer), High Risk Punter(Non-Sports)"
AG,42305693,NULL
AG,42305721,VIP(Non-Sports)
AG,42305961,"Normal Member(Non-Sports)"
AG,42311512,NULL
AG,42363755,"Normal Member(Non-Sports)"
AG,42367780,"High Risk Punter(E-Sports)"
AG,42387295,"Normal Member(Non-Sports)"
AG,42394948,"Normal Member(Non-Sports)"
AG,42404291,"Normal Member(E-Sports)"
AG,42408525,"Normal Member(Non-Sports)"
AG,42415311,"Normal Member(Non-Sports)"
AG,42424362,NULL
AG,42428666,"Normal Member(Non-Sports)"
AG,42470171,NULL
AG,42498245,"Normal Member(Non-Sports)"
AG,42507550,"Normal Member(Non-Sports)"
AG,42537858,"High Risk Punter(Soccer)"
AG,42596813,VIP(Non-Sports)
AG,42621560,VIP(Non-Sports)
AG,42666873,"High Risk Punter(Soccer)"
AG,42671090,NULL
AG,42673202,VIP(Non-Sports)
AG,42675511,"High Risk Punter(Non-Sports)"
AG,42679633,"Smart Punter(Non-Sports)"
AG,42692200,"Normal Member(Non-Sports)"
AG,42694967,"Normal Member(Non-Sports)"
